TypeOfRequest,RouteNumber,City,From,To,Timings,Comments,Response,Date
Increase Frequency,286,Bengaluru,,,,"While coming from VETERINARY COLLEGE to KBS buses are not stopping at the VETERINARY COLLEGE STOP it is very inconvenient to the passengers of ATRIA college and other residents near that area...
So pls go through this issue and make the passengers travel convenient..",,11-Aug-16
New Route,,Bengaluru,Grind Well (towards BUDIGERE),ITPL (towards I.T.P.L.),,During morning office hours and evening hours.,,11-Aug-16
New Route,,Bengaluru,Hanumantha Nagara Ward Office (towards SRINAGARA),Nayandahalli Cross (towards MYSORE ROAD),,Since metro started from Nayandahalli lots of people traveling to nayandahalli metro station from hanumanthnagar srinivasnagar etc. these people have to use their own vehicles and no parking available at metro station. buses running in these routes will reduce lots of traffic and gives travel convertibility. No doubt more revenue to BMTC.,,12-Aug-16
Other,,Bengaluru,,,,"Bus No. :  5 A  Vayu Vajra airport Service to stop at RBI layout Bus Stop also
While we are grateful for introducing  a new Airport Bus Service, 5 A from Jambusavari Dinne to  Kempegowda International Airport , which was inaugurated at RBI layout, JP Nagar 7 Phase , Bangalore on 01 August 2016, we find, that the bus has no identified stop at RBI layout bus stop. Many people travel to Airport form this RBI layout bus stop. Hence, may I request the authorities concerned to declare a scheduled stop at RBI layout stop also as ordinary busses stop at this point ?. Thanks…Jnanendra
",,12-Aug-16
New Route,,Bengaluru,Kereguddadahalli (towards CHIKKA BANAVARA),Majestic (towards Malleshwaram),,"The frequency of buses are very less in every 2hrs min 1 bus ply from this route. So, need more frequency of buses from this route.",,12-Aug-16
New Route,,Bengaluru,Depot-25 (towards CENTRAL SILK BOARD JUNCTION),RV College (towards TOWARDS SHIRKE),,Please Add volvo buses between these stops at regular intervals,,13-Aug-16
New Route,,Bengaluru,Jalahalli Cross (towards \N),Malleshwaram Circle (towards KEMPEGOWDA BUS STATION),,Though there are plenty of buses all come fully occupied from nelamangla side and peenya 2nd stage during peak hours from 7 to 10 in the morning,,12-Aug-16
New Route,,Bengaluru,Kudlu  (towards \N),KR Puram Railway Station (towards ULSOOR)," 8:30 AM, 9:00 AM, 9:30 AM","Of late, the density of population is increasing exponentially around Haralur Village Main Road with so many new Apartments being handed over for Occupancy. Many new schools have come up around this road. As a result, number of cars on the Haralur road has increased by many fold. With the road being so narrow for the 3 km stretch (till Sarjapur Road), it leads to severe Traffic Jams and long commute Hours. It takes 60 minutes to travel 9 kms from Haralur to Marathahalli. To encourage more people to start using Public Transport, BMTC should consider running shuttle Services between Haralur/Kudlu and Marathahalli every 15 minutes during the peak hours of 8 am to 10.30 am and 5.00 pm to 7.30 pm. With so many people commuting to their office along the Outer Ring Road, these Buses would help a lot in reducing the congestion on the road.",?0????? ????????????? ??????? ??? ???? ????? ????????? ???? ?????????????????.,04-Nov-15
Increase Frequency,MF-1,Bengaluru,,,,MF-1 and MF-1A buses from Swamy Vivekananda(Metro stn) frequency has to be increased during 12PM to 2PM. We hardly find buses during this time. MF-1A takes half routes during this time saying there is heavy traffic,,12-Aug-16
New Route,,Bengaluru,Bapuji Nagara (towards TOWARDS SHANTHINAGARA),K R Puram (towards TOWARDS KBS),,"Dear BMTC, I work in RMZ infinity (benniganahalli) but there is no direct bus service from bapujinagara to k.r.puram (benniganahalli). please provide bus service. ",??????????? ??-4 ????? 12 ???????????? ????????? ??????????? ???? ????? ????????? ???? ?????????????????.,11-Jan-16
New Route,,Bengaluru,Grind Well (towards BUDIGERE CROSS),ITPL (towards I.T.P.L.),,"Near Budigere Cross, Prestige Tranquility apartment has close to 2300 flats with lot of residents working in and around ITPL/Vydehi. It will be good to have volvo buses on these routes specially during office timings (morning and evening)",,09-Aug-16
New Route,,Bengaluru,Grind Well (towards BUDIGERE CROSS),ITPL (towards I.T.P.L.),,As residential projects are increasing around budigere cross please consider starting volvo service.,,11-Aug-16
Increase Frequency,401RC,Bengaluru,,,,There is no proper bus from kengeri to yelhanka.......BMTC is worst service no proper buses.....,,15-Aug-16
New Route,,Bengaluru,Varthuru (towards WHITEFIELD),Koramangala Water Tank (towards MADIVALA MOSQUE),,"There are a lot of people getting on the bus from Varthur, Varthur Kodi and further just to get down at Marathalli bridge to walk it down the bridge to get another bus towards Silk Board or Koramangala. This causes a lot of inconvenience and also creates a rush at the bus stop near Marathalli Bridge. People also get hurt. A new route from Varthur to Koramangala would be really convenient.",??? ?????? ?????? ?????????? ?????????.,12-Jan-16
New Route,,Bengaluru,Channasandra (towards HOPE FARM),Channasandra (towards HOPE FARM),,"There is no bus service available from Whitefield Railway Station via FCI (Food Corporation of India ) till Channasandara. Since there is lot of new apartments, layouts big of IT people are staying here. However, there is no puplica transport is accessible. Everyone has to use own vehicle or take auto / walk 2 kms to reach channasandra circle to take bus to ITPL. Please arrange bus service in this FCI road to IT areas.  ",,15-Aug-16
New Route,,Bengaluru,Chandra Layout 1st Stage (towards LAST BUS STOP),JP Nagara 3rd Phase (towards BANNERGHATTA ROAD),,This route helps people commuting along the ring road. ,,17-Aug-16
Increase Frequency,289,Bengaluru,,,,"Dear Sir,
Number of students are travelling from Yelahanka to REVA University. However the number of buses are insufficient. May I request you to increase the frequency of buses on this route, at least two more buses.
Nataraj Kuppasad
General Manager(Admin)
REVA University",,16-Aug-16
New Route,,Bengaluru,Chandapura Cross (towards CHANDAPURA),Manyatha Tech Park (towards HEBBALA),,"there are no Volvo buses between chandapura to hebbal (direct buses) kindly do the needful cos there are many ppl travelling to manyata tech park from chandapura , electronicity .",,16-Aug-16
New Route,,Bengaluru,Janatha Bazar (towards NAYANDAHALLI),Hebbala Bridge (towards TIN FACTORY KR PURAM),,"Sir, can you please provide direct bus to Manyatha Tech Park Bus Stop from janatha bazar towards nayandahalli",,17-Aug-16
New Route,,Bengaluru,Janatha Bazar (towards NAYANDAHALLI),Hebbala Bridge (towards TIN FACTORY KR PURAM),,"sir, please provide direct bus to Manyatha Tech Park Bus Stop from Janatha Bazar as many company are located there. It will be very helpful if possible..",,17-Aug-16
New Route,,Bengaluru,Tin Factory (towards K.R. PURAM RAILWAY STATION),Vydehi Hospital (towards I.T.P.L.),,"Many companies are located in EPIP. People coming from ORR need a direct bus from Tin Factory to go to SAP, Graphite, Vydehi through KRPuram, Pheonix.",,17-Aug-16
New Route,,Bengaluru,Attibele (towards SARJAPURA),Manyatha Tech Park (towards HEBBALA),,"Please start volvo services from attibele to manyata via sarjapur, so many people are using this route",,17-Aug-16
New Route,,Bengaluru,AGS Layout (towards ITTAMADU),Koramangala Water Tank (towards MADIVALA MOSQUE),,This would be great if we have buses from AGS layout to Koramangala,,17-Aug-16
Other,,Bengaluru,,,,"Please ply buses between Electronic city & Majestic/ K.R. Market/BYPN/Hebbal/Whitefield via (Hosa Road or Jail Road or Kasavanahalli Road) instead of Hosur Road.Re-route some of the existing bus routes to ply on Hosa Road.
E-City to Majestic / K.R Market via Hosa Rd-Iblur-Jakksandra-Sony World-NGV-Vannarpet-Austin Town-Vellara-Corporation. Also E-city to Bagmane/Manyata/ITPL via Hosa Rd-Iblur-Bellandur-ORR",,17-Aug-16
Increase Frequency,MF-1,Bengaluru,,,,It's very difficult to reach Byapanhalli from ITPL at peak hours.,,17-Aug-16
Increase Frequency,325A,Bengaluru,,,,Please increase the frequency as currently very few buses ply on this route. Also number of commuters on this route is very high.,,17-Aug-16
Increase Frequency,325A,Bengaluru,,,,"Apart from increasing bus frequency, please also start regular AC buses. There is not even a single AC bus to Varthur. People have moved in to new apartments. Please provide for office timings. Thanks !",,17-Aug-16
New Route,,Bengaluru,Sorahunase Temple (towards HAROHALLI),ITPL (towards I.T.P.L.),,Please ply buses on this route as there are many apartments coming up on this route and currently there are no direct buses from Sorahunase to ITPL.,,17-Aug-16
New Route,,Bengaluru,Sorahunase Temple (towards HAROHALLI),Vydehi Hospital (towards I.T.P.L.),,Please ply ac buses in this route. Many new apartments have come up in this area and people travel to IT companies towards ITPL and Vydehi,,17-Aug-16
New Route,,Bengaluru,Srinivasa Nagara (towards HANUMANTHA NAGARA),Nayandahalli Cross (towards MYSORE ROAD),,"Hello Sir, Lots of people wants to travel by metro from nayandalli to Ulsoor,Indiranagar, baippanahalli and further, we don't have bus service from Hanumanthnagar, Srinagar, Bank colony and Srinivasnagar area to catch metro. If feeder buses are introduced to Nayandanahalli from theses area it will be helpful for many people. there is not much parking also available at metro station so sure this will be great help if the feeder buses are introduced.",,17-Aug-16
New Route,,Bengaluru,Sorahunase Temple (towards VARTHURU),Bellanduru Gate Sarjapura Road (towards TOWARDS SARJAPURA),,IT workers residing near Sorahunase temple/cross need to travel to IT companies on ORR. Thanks !,,17-Aug-16
Increase Frequency,325A,Bengaluru,,,,Need more houses and AC buses,,17-Aug-16
New Route,,Bengaluru,Krishna Garden BHEL Layout (towards CONCORDE LAYOUT),Deepanjalinagara Depot-16 (towards MYSORE ROAD),,Please introduce a bus from Krishna Garden / Concorde Layout to Mysore Road Satellite Bus station with a good frequency. Currently buses going to KBS and City Market have no good frequency.,,17-Aug-16
New Route,,Bengaluru,Sorahunase Temple (towards HAROHALLI),ITPL (towards I.T.P.L.),,The area is becoming a hotspot destination for home buyers and developers. Already a lot of apartments are functional. So it makes sense to have buses ply on this route.,,17-Aug-16
Increase Frequency,325A,Bengaluru,,,,The area has a lot of new apartments. Hence residents there need frequent buses.,,17-Aug-16
New Route,,Bengaluru,Sorahunase Temple (towards HAROHALLI),Manyatha Tech Park (towards HEBBALA),,Please start a direct route to Manyaata from Sorahunase cross.,,17-Aug-16
New Route,,Bengaluru,Pattanagere (towards UTHARAHALLI KENGERI ROAD),East End (towards Jayanagar 4th Block),,"No proper connectivity exists between Pattanagere and Jayanagar. Introduce new service between Pattanagere and Jayanagar East End via Utharahalli, Banashankari and Jayanagar 9th Block.",,17-Aug-16
Increase Frequency,225D,Bengaluru,,,,Please increase the frequency of this bus route. You could run Cut service only upto Satellite bus station on Mysore Road to give connectivity to Metro Stations.,,17-Aug-16
Increase Frequency,225DA,Bengaluru,,,,Please increase the frequency of this bus route. You could run Cut service only upto Satellite bus station on Mysore Road to give connectivity to Metro Stations.,,17-Aug-16
Other,,Bengaluru,,,,"Hello Dear Sir/Madam
Please put some ladies special busses in outer ring road. Especially during evenings after 7. I  have seen many ladies struggling in ordinary busses. There are many non IT ladies who work in and around ORR. So please consider this option you will get many appreciation for this",,17-Aug-16
New Route,,Bengaluru,Mallesh Palya New Bus Stand (towards BEML GATE),BTM Layout (towards Banashankari Bus Station),,Especially in the morning during office hours,,17-Aug-16
New Route,,Bengaluru,Kundalahalli Gate (towards TOWARDS MARATHAHALLI),Bennigana Halli (towards TOWARDS KBS),,and return in the evenings starting from 5 for half an hour frequency. Type: volvo to cater to gopalan signature mall & RMZ infinity tech park. can be extended in both sides..( like say vathur till bda complex indranagar),,17-Aug-16
New Route,,Bengaluru,Byappanahalli rly gate (towards \N),Central Silk Board (towards MARATHAHALLI),,A new bus route catering to the metro users who work in the ORR IT Corridor will be hugely benefitted.,,17-Aug-16
New Route,,Bengaluru,Kempegowda Bus Station (towards \N),Sorahunase Temple (towards VARTHURU),,please increase the frequency as lot of apartments are coming up in that area,,17-Aug-16
New Route,,Bengaluru,Varthuru (towards WHITEFIELD),White Field (towards TOWARDS VARTHURU KODI),,"As there are so many apartments in Varthur area and Direct Buses to Whitefield are not there. Please add routes from varthur to Whitefield, Varthur to Silkboard, Varthur to Majestic as its very difficult to commute on cabs ",,17-Aug-16
New Route,,Bengaluru,Byrasandra (towards LAST STOP),Ragigudda (towards BTM LAYOUT),,There are no buses from Byrasandra towards JP Nagar/ Ragigudda area.,,17-Aug-16
New Route,,Bengaluru,M M Industries (towards BANASHANKARI),BANASHANKARI TTMC (towards \N),,Connectivity to banashankari is low from K.R Road. Need to go to kanakpura road for buses.,,17-Aug-16
New Route,,Bengaluru,Varthuru (towards WHITEFIELD),Devrabisanahalli (towards Central Silk Board),,Please add VOLVO buses to this area as there are no VOLVO buses and ordinary buses either. There are many apartments in Varthur and residents are finding very difficult without very less number of Bus commutation,,17-Aug-16
New Route,,Bengaluru,ITPL Back Gate (towards MARATHAHALLI),"Marathahalli Bridge (towards AGRAHARA JUNCTION, SARJAPURA ROAD)",,"There is no bus from ITPL to kundalahalli/marathahalli through Hoodi circle.  The people staying between ITPL and Hoodi needs to take two bus to reach marathahalli or even Whitefield bmtc bus station on the other side.  There can be a loop service from ITPL,  hoodi,  graphite signal,  kundalahalli,  varthur,  Whitefield and ITPL. ",,17-Aug-16
Other,,Bengaluru,,,,"Hi,
Please remove private buses from the road. They are affecting BMTC and commuters as well. They dont know how to behave commuters and they charge like anything which directly loss of BMTC. I am daily commuter from Marathahalli to ITPL every day I have to wait for Non-Ac bus at least 15-20 minutes. We dont have any bus which starts from Marathahalli to ITPL. So it is compulsion to take private buses. If BMTC increases the bus on all current routes and remove the private buses then it will be beneficial to BMTC as well as commuters. Some times private bus conductor hit commuter and they treat us like animals.
Please take a necessary steps to get rid of it soon.",,17-Aug-16
New Route,,Bengaluru,Byrasandra (towards LAST STOP),Koramangala Police Station (towards NATIONAL GAMES VILLAGE),,There are no buses towards Koramangala area from Byrasandra. The nearest bus stop to get to Koramangala is Ragigudda. And there are no buses towards Ragigudda also.,,17-Aug-16
New Route,,Bengaluru,HSR Layout 2nd Sector (towards HSR Club),Vidhana Soudha (towards K.R.CIRCLE),,"We humbly request for a PHS bus from CPWD quarters at HSR Layout to Vidhana Soudha, as more than 200 commutes daily in this route at this time.  ",,17-Aug-16
Other,,Bengaluru,,,,The PHS buses from CPWD quarters to Vidhana Soudha and back were abruptly removed despite more than 300 commuters travel in the route daily.  The buses were running to the brim bothways and there was no shortfall in collection.  We humbly request to restore the buses immediately.,,17-Aug-16
New Route,,Bengaluru,JP Nagara 3rd Phase (towards 15TH CROSS),Nayandahalli Cross (towards MYSORE ROAD),,Please connect bannerghutta road to nayandanahalli junction ,,18-Aug-16
New Route,,Bengaluru,JPNagara 6th Phase (towards J.P.NAGARA 15TH CROSS),ITPL (towards I.T.P.L.),,Please provide atleast few buses in the morning to ITPL as it would be helpful to all J P Nagar people along 15th CROSS.,,18-Aug-16
New Route,,Bengaluru,C V Ramanagra (towards BEML),Electronic City (towards MADIWAL),,there is no normal buses from cv raman nagar to electronicity plz adopt new buses from this route,?????? ?????? ?????? ???????? ???????? ????????????????.,17-Jan-16
New Route,,Bengaluru,Varthuru Police Station (towards VARTURU),Kaikodrahalli (towards TOWARDS SARJAPURA),,"Varthur has lot of new realty projects. Residents have moved in. Varthur road users are disciplined because there are only two road lanes. However due to lack of AC buses, many are using private vehicles. Please start regular AC buses.",,17-Aug-16
New Route,,Bengaluru,Hoodi (towards TIN FACTORY),Kundalahalli Gate (towards TOWARDS MARATHAHALLI),,Currently there are no buses from hoodi to kundalhalli via vyedehi route.Its so hectic for people living in this area to change mutiple buses every time.Kindly introduce some buses for this route with optimum frequency.,??????? ???? ??? ???? ????? ????????? ???? ?????????????????.,24-Jan-16
New Route,,Bengaluru,Ibbalur (towards TOWARDS KORAMANGALA),Kempegowda Bus Station (towards \N),,There are very few buses running between Ibbalur Junction and Majestic. Commuters need to catch bus to K R Market and switch over to Majestic bus causing lot of inconvenience when they have to travel with luggage. Most of the times these buses are crowded as they come from Sarjapura. Please visit the area in late evenings (7 to 8 pm) to understand the problem. Please start new buses that start from Sarjapur ORR junction. There is no bus shelter at Ibbalur stops on either side of the road. Request your immediate attention.,"????? 5 ????????? ??????? ?????? ????????????, ????? ?????? ?????????????.",28-Jan-16
Other,,Bengaluru,,,,"Route No 414 is not operating regularly, if it operates one day, next 2 days it will not operate, its Depot 10 bus, Kindly i request you to check out it and operate it regurarly,
Thanking you
Girisha",,18-Aug-16
Other,,Bengaluru,,,,"Please restart all the buses that go through Malleswaram Margosa road. We had a straight bus to Shivajinagar 92E and 97, Shanthinagar 23, Basavanagudi, Jayanagar IV Block 1, Banashankari 14, Indiranagar 137 , JP Nagar, and also to Bengaluru University the present service from 18th Cross to Kengeri hardly seen .",,18-Aug-16
New Route,,Bengaluru,Shivajinagar Bus Station (towards INDIAN EXPRESS),Richmond Circle (towards null),,There are many passengers who work in St. Marks Road. We take auto from Indian Express to reach our offices. Everybody cant afford for Auto every day. We request you for a new bus route which comes to St. Marks Road from Shivajinagar via Indian Express. Please do the needful. Looking forward for your valuable response!,??????????/???????? ????? ????? ????? ??????????????????? ????????? ?????????? ?????? ?????? ???????? ?????????.,03-Feb-16
Increase Frequency,273C,Bengaluru,,,,"since two days there are no buses from 8:00 am to 9:00 am, we had to wait for 45 mins to one hour for one single bus i.e., 273C which is one of the important buses through this route. the 270A buses, 2 in number come by 8:15 and 8:30 , the driver won't stop the buses even if they do they won't open the doors specially for ladies. 60% of the buses which come early will experience a breakdown and stop half the way, kindly do the needful.",,18-Aug-16
New Route,,Bengaluru,Neeladri Nagara (towards Wipro),R T Nagar post Office (towards DEPOT AIRPORT ROAD),,"Please extend existing airport bus service till Ajmera infinity apartment on Neeladri road (Electronic City Phase-1). Because most of the people commute b/w EC1 & airport resides on Neeladri road. Ajmera and other big apartment on neeladri road are hardly 2 KM from current last bus stop.  
Twitter hashtag  #AirportBus2AjmeraInfinity",,18-Aug-16
New Route,,Bengaluru,Mahalakshmi layout (towards PEENYA 2ND STAGE),Yelahanka Satelite Town (towards TOWARDS YELAHANKA TOWN),,"PLEASE PROVIDE A BUS FACILITY FROM MAHALAKSHMI LAYOUT BUS STOP TO YEMAHANKA VIA STUDIO, TVS CROSS, JALAHALLI CROSS, GANGAMMA CIRCLE, MS PALYA TO YELAHANKA.
THERE ARE NO BUS DIRECT BUS TO YELAHANKA TO MAHALAKSHMI LAYOUT",,19-Aug-16
Other,,Bengaluru,,,,"please restart bus route no 
188 ( mahalakshmi layout to hoskerehalli), 
189 ( mahalakshmi layout to jaynagar)
97 ( mahalakshmi layout to shivajinagar via yeshvanthpur) ",,19-Aug-16
New Route,,Bengaluru,Ramamurthinagar Police Station (towards KR PURAM),Varthuru Kodi (towards TOWARDS MARATHAHALLI),,"Currently there are no buses from Ramamurthy nagar bridge towards Varthur kodi as we need to change 2 buses, Atleast few services during peak hours (8 to 10 AM and evening 6 to 8pm)would help many people. Kindly requesting to look into the matter and advise.",,19-Aug-16
New Route,,Bengaluru,Gunjoor (towards VARTURU),"Marathahalli Bridge (towards AGRAHARA JUNCTION, SARJAPURA ROAD)",,An AC bus chakra route. Gunjur - Varthur - Marathahalli - Devarabeesanahalli - Kaikondrahalli - Carmelaram - Gunjur,,19-Aug-16
New Route,,Bengaluru,Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),ITPL (towards I.T.P.L.),,"Elecronics city - Varthur - ITPL 
A lot of private vehicles are travelling on this route. This is evident from the daily block. Starting services on this route will be very useful/profitable and helps in reducing congestion. The evening timings are for ITPL to Electronics city",,19-Aug-16
New Route,,Bengaluru,ITPL (towards I.T.P.L.),Hebbala Bridge (towards TIN FACTORY KR PURAM),,"Please add bus services via the following route for connectivity of EPIP zone and AECS/BEML layout to KR Puram railway Station and beyond.

ITPL -> Vydehi -> Graphite India -> CMRIT -> Kundalahalli Gate -> Marathahalli -> Doddanekundi -> KRPuram -> Hebbal",?????????????? ??? ???? ????? ????????? ???? ?????????????????.,04-Feb-16
New Route,,Bengaluru,CV Raman Nagara (towards C.V.RAMAN NAGARA LAST STOP),Gunjoor (towards VARTURU),,"Regular Gunjur to Vivekananda metro feeder bus.
To conincide with start and end time of metro.
Especially on weekends. Also helps late night travellers on weekdays
",,19-Aug-16
New Route,,Bengaluru,Vallepura Gate (towards VARTHURU),Panathuru (towards OUTER RING ROAD),,AC buses /Chakra service : Lack of AC buses on this route has congested the area with private vehicles. Please start services so that people never have to take out cars.  Varthur Govt college - Panathur - kadubeesanahalli - kaikondrahalli - carmelaram - gunjur palya - varthur poilce station - Varthur Govt college,,19-Aug-16
New Route,,Bengaluru,C V Ramanagra (towards KAGADASAPURA),Babusab Palya (towards HEBBALA),,"Dear Sir/Madam,

Many of us are facing problems with commuting from C V Ramannagar to Babusapalya as we do not have direct buses. Please provide direct BMTC buses from C V Ramannagar to Babusapalya towards Hebbala or even till Hebbala being the last stop.",??? ?????? ?????? ?????????? ?????????.,08-Feb-16
New Route,,Bengaluru,Thambuchetty Palya (towards KALKERE),B Channasandra bridge (towards T.C.PALYA),,"There are very few buses from TC Palya to Outer ring Road (B Channasandra bridge). It is very difficult to reach the Main Road. Please add this route as soon as possible with more priority.
","??????????? 310-?, 312, 313-?, 313-??, 313-??, 315-?? ???? ?????-6 ????? 10 ????????????, ????? ???????????????????. ",10-Mar-16
New Route,,Bengaluru,Sompura Gate (towards TOWARDS SARJAPURA),Domlur Bridge (towards TOWARDS DOMLURU),,Emabassy golf link is a office hub ( like Manayta ) and the City has expanded till Sarajapura Village . There are lot of office commuters . Would really help to have  bus in this route ,??????????? ???? ????? ????????? ???? ?????????????????.,27-Feb-16
New Route,,Bengaluru,Ichanguru (towards CHANDAPURA),Madiwala MARKET (towards TOWARDS ELECTRONIC CITY),,please provide new bus for this line ,??????????? 358 ???? 358-? ?? ?????? ???????????? ????? ?????? ?????????????.,29-Feb-16
New Route,,Bengaluru,Jn of Marathalli Bridge (towards KRISHNARAJAPURAM),ITPL (towards HOPE FARM),,i want to know the bus number which goes towards GR tech park,"??????????? 335-?, 335-? ?????? ????? 5 ????????? ??????? ?????? ????????????, ????? ?????? ?????????????.",11-Mar-16
New Route,,Bengaluru,Domlur (towards INDIRA NAGARA),Hebbala (towards TOWARDS YELAHANKA NES),,"There are no buses running from Domlur to Hebbal. We need to go to Marathahalli to get the bus coming from Banshankari, Silk board etc. So a NEW BUS SERVICE can be started from Domlur to Hebbal which will help people who stay in this area. This can run via Indiranagar and get connected to Old Madras Road and then connect to the outer ring road and go towards Hebbal.

Also there are many buses running in the outer ring road including Volvo towards Hebbal and if some buses are diverted via the Koramangala ring road it will be helpful for those who stay in these areas to go to Hebbal.",?????????????? ??? ???? ????? ????????? ???? ?????????????????.,17-Mar-16
New Route,,Bengaluru,Chikkabanavara (towards 8TH MILE),Shivajinagar Bus Station (towards TOWARDS INDIAN EXRESS),,There are busses directly to KBS but no direct bus to shivajinagar in morning time kindly provide some bussues,"????????, ????? ??????: 271-????, 271-???, 507-?? ?????? ??????????????? ??????????????? ???? ??????? ????????????? ??????? ?????? ????????????, ???? ?????? ??????????? ????? ????????????? ??????????????????????. ?????? ????????? ???????? ??????? ?????????? ???? ??????????????????? ????????????? ??? ?????? ?????? ??????? ????? ????????????????.",01-Dec-15
New Route,,Bengaluru,Yelahanka Satelite Town (towards TOWARDS YELAHANKA TOWN),Shanthinagar Bus Stand (towards LALBHAG),,There are no direct buses from ynk to shanthinagar. please make a new route . as many are dependable ,"????? ??????: 356-??  ????? 02 ??????????????, ????? 5?? ??????? ????? ?????, ???????? ????????? ???????????????????? ??????????????????????. ????????? ???? ?????? ??????????? ??????????????????.",18-Dec-15
New Route,,Bengaluru,Chowdeshwari Bus Stand JP Park (towards JALAHALLI),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,Please Provide a very feasible route for this service and also try providing VOLVO and Ordinary bus service for this route. Many Employees working around WIPRO INFOSYS SIEMENS and many other companies will use this service. It will be really helpful. Please do the needful ASAP. It will be of a great help to many,"????? ??????: 500-???? (????????? ??.??.??????????? ??.???.????) ?????  14 ?????????? ???? 500?????? (????????? ??.??.??????????? ???????? ?????? ??????) ????? 03 ??????????????, ???? ?????? ?????? ????? ??????????????/???????? ?????? ?????? ???  ???? ??? ??????? ??????????? ???????????????????? ??????????????????????.",22-Dec-15
New Route,,Bengaluru,YELAHANKA (towards \N),Banaswadi (towards RAMAMURTHY NAGARA),,"Direct bus service required at regular intervals from Yelahanka to Banaswadi, to cater to residents of Yelahanka and other places easier access to areas around Ring Road.","????? ??????: 500-??, 500-??, 507-??, 507-????,  ?????? ????? 11 ??????????????, ? ????? ???????? ?????/????? 5?? ??????? ???????? ????????? ??????????????????????. ????????? ???? ?????? ??????????? ??????????????????.",22-Dec-15
New Route,,Bengaluru,Kere Guddadahalli (towards ABBIGERE),Shivajinagar Bus Station (towards TOWARDS INDIAN EXRESS),,There is no direct buses to shivajinagar from our place,"????????, ????? ??????: 271-????, 271-???, 507-??  ?????? ??????????????????? ??????????????? ???? ??????? ????????????? ??????? ?????? ????????????, ???? ?????? ??????????? ????? ????????????? ??????????????????????. ?????? ????????? ???????? ??????? ?????????? ???? ??????????????????? ????????????? ??? ?????? ?????? ??????? ????? ????????????????.",04-Dec-15
New Route,,Bengaluru,Kodigehalli (towards TOWARDS HEBBALA),Manyatha Tech Park (towards TIN FACTORY KR PURAM),,"Hardly any bus connects goes from yelehanka/vidyranapura/kodigehalli towards Manyata tech park, which connects hebbala bus station. This will be really useful for commuters.","???????? ????? ??????; 288 ????? ????????????? ??????????? ???? ??????? ????? ??????; 500 ????? ?????????? ???? ??? ??????? ????? ???? ?????? ???? ????????? ???????????????????, ????????? ? ?????????? ??????????????????. ?????? ????????? ???????? ??? ??????? ?????????? ???? ??????????????? ??????? ????? ???, ?????????????????? ????????? ??? ?????? ??????????? ??????? ????? ????????????????.",02-Nov-15
New Route,,Bengaluru,Nelamangala Bypass (towards KUNIGAL),Electronic City Wipro Gate (towards TOWARDS ELC WIPRO),,"Dear Sir/Mam,
I requested to please provide the new route from NELAMANGALA SONDEKUPPA BYPASS TO ELECTRONIC CITY WIPRO GATE so many commuters in this area who hv to go to either kr market or majestic or silk board.if we have new bus route from this area it would be of great help many WIPRO,INFOSYS,HP,ABB,TEJAS NETWORKS, TCL,TUV,C.DOT,BOSCH,HCL company employs traveling from Tumakuru,Dabaspet,NELAMANGALA,dasnpura,Kunigal,solur,Makali to ELECTRONIC CITY by catching lorry, private cabs, VIA NICE ROAD, if introduce new bus route for us very help because we traveled via NICE road short distance, short period cover the place, traffic tension free So kindly requesting to you pls run the buses from NEMANGALA SONDEKUPPA BYPASS (Tumkur,Dabaspet,Kunigal,Solur eploys getdown @ Nelamangal 2nd toll or Sondekuppa bypass)-Arishinakunte,Dasnapura,HIMALAYA,Madanayakanahalli,TCI,MADAVARA,NICE ROAD entrance,Tumkur rd Nice tole,Magadi rd,Mysore rd,kanakapur rd,Bannerugatta rd,Konappana agrahara,HP,INFOSYS,crown plazza,VELANKANI,BHEL,WIPRO GATE from NML morning 7&7:30 AM, WIPRO GATE Evening 5:45& 6:15.

Regards
Maruthi.A.H
Tejas networks ltd EC

",?????? ????? ????????? ????????????? ??????????? ?I?? ?????? ????????? ???????????????????? ?????? ??????????? ????????????????. ???? ??????????? ???????????????????? ???? ??????????????? ??????????????????.,09-Dec-15
New Route,,Bengaluru,Yeshwanthpura TTMC (towards TOWARDS JALAHALLI CROSS),Maratahalli Bridge (towards TOWARDS HAL),,"Their is so much crowd at Mathikere, BEL Circle, and stop before and at Hebbal","????? ??????: 500-??, 500-??? (???????????? ??????????? ???????) ????? 06, 500-???? (?????? ????????? ???????? ?????? ??????) ????? 06, 500-???? (????????? ??.??.??????????? ??.???.????) ?????  14 ?????????? ???? 500?????? (????????? ??.??.??????????? ???????? ?????? ??????) ????? 03 ????? 29 ??????????????, ????????? ? ?????? ??????????? ??????????????????.",27-Dec-15
